No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
3,3,vegetarian lifestyle,The Vegetarian Lifestyle,Pros &amp; Cons Of A Vegetarian Diet. The Latest Nutrition Advice From ,LifeScript.com,,1270490408
3,1,vegetarian information,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490420
3,2,vegetarian information,Vegetarian Diet,"Learn more about Vegetarian Diets. Find Facts, Causes, &amp; Treatments! ",www.WebMD.com/Vegetarian_Diet,,1270490420
3,3,vegetarian information,Vegetarian Starter Kit,Looking To Try A Vegetarian Diet? Get Your Free Starter Kit Here! ,PETA.org,,1270490420
3,1,vegetarian cuisine,Free Vegetarian Recipes,"Easy, healthy, delicious &amp; free. Plus lots more info. Start cooking! ",www.TryVeg.com,,1270490432
3,2,vegetarian cuisine,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490432
3,3,vegetarian cuisine,Vegetarian Cuisine,"Millions of titles, new &amp; used. Qualified orders over $25 ship free ",Amazon.com/books,,1270490432
3,1,vegan cuisine,What&#39;s Cooking Vegan?,Best of Vegan Cooking 84 healthy and delicious recipes ,www.friendsofanimals.org,,1270490446
3,2,vegan cuisine,Vegan Recipes,Alicia Silverstone Backs 21-Day Vegan Kickstart. Read More. ,ThatsFit.com,,1270490446
3,3,vegan cuisine,One-stop vegan shopping,"Hundreds of cruelty-free products Shoes, food, cosmetics and more ",www.veganessentials.com,,1270490446
2,1,vegetarian news,Become A Vegetarian,"Vegetarian Recipes, Restaurants Starter Kit &amp; More. Go Veg! ",www.ExploreVeg.org,,1270490457
2,2,vegetarian news,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490457
2,1,vegan catering,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270490466
2,2,vegan catering,Karmavore Vegan Shop,Vancouver&#39;s Vegan Store! Retail Location &amp; Online Shopping ,karmavore.ca,,1270490466
4,1,vegetarian organic food,Trader Joe&#39;s Corn Dogs,"Vegetarian Corn Dogs Taste Great! Meatless &amp; Nitrite-Free $2.49, 4/pk ",www.TraderJoes.com,,1270490480
4,2,vegetarian organic food,HUNZA Raw Vegetarian Food,"Raw Cookies, Mangos, Goji Berries Cacao, Vegan Granola &amp; Free Shiping ",www.GoHunza.com,,1270490480
4,3,vegetarian organic food,Organic Food,Organic Valley- Certified Organic Food- Taste The Difference Today! ,www.OrganicValley.coop,,1270490480
4,4,vegetarian organic food,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270490480
1,1,vegetarian websites,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490494
1,1,vegetarian resturants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490506
2,1,vegetarian restaurant guide,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270490518
2,2,vegetarian restaurant guide,Vegetarian Restaurant Guide,"Millions of titles, new &amp; used. Qualified orders over $25 ship free ",Amazon.com/books,,1270490518
2,1,"vegetarian restaurant""""",Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490524
2,2,"vegetarian restaurant""""",Vegetarian Restaurant,"Millions of titles, new &amp; used. Qualified orders over $25 ship free ",Amazon.com/books,,1270490524
4,1,gluten free restaurants,Enjoy Gluten Free Pizza,Delicious Authentic Tasting Eat at your local pizzeria ,www.stillridingpizza.com,,1270490533
4,2,gluten free restaurants,Sweet Freedom Bakery,"Allergen-Free Bakery-215.545.1899 1424 South St Philadelphia, PA ",www.sweetfreedombakery.com,"1424 South Street, Philadelphia, PA",1270490533
4,3,gluten free restaurants,Gluten Free Dining Guide,The Magazine For People Who Are Living Gluten Free. ,www.LivingWithout.com,,1270490533
4,4,gluten free restaurants,Gluten Free Restaurants,Get Gluten Free Restaurants Search for Gluten Free Restaurants ,www.Ask.com,,1270490533
2,1,"vegetarian restaurants""""",Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490546
2,2,"vegetarian restaurants""""",Vegetarian Restaurants,Find A Nearby Restaurant With Everything On The Menu Here. ,philadelphia.local.com,"Philadelphia, PA",1270490546
3,1,vegetarian date,Veggie Dating,Award winning &quot;Top site to find a veggie mate!&quot; ,www.VeggieConnection.com,,1270490555
3,2,vegetarian date,Vegetarian Dating,Receive Free Vegetarian Matches That Share Your Views and Tastes! ,PerfectMatch.com,,1270490555
3,3,vegetarian date,Meet Spiritual Singles,Make a mind-body-spirit connection Free profile and personals search ,www.NewAgeConnections.com,,1270490555
1,1,vegan date,iKarma Date - For Singles,Meet Like Minded Vegans $10 for Three Months ,www.iKarmaDate.com,,1270490564
3,1,vegan stores,How To Become A Vegan,"Vegan Recipes, Restaurant Reviews Starter Kit &amp; More. Go Veg! ",www.ExploreVeg.org,,1270490573
3,2,vegan stores,Sexy Thin Vegan Wallets,Nylon Microfiber w/special coating Many Styles w/ Same Day Shipping ,www.BigSkinny.net,,1270490573
3,3,vegan stores,All Vegan Store,Wide Range Of Vegan And Gluten Free Foods. Quick Delivery Guaranteed! ,www.CosmosVeganShoppe.com,,1270490573
2,1,vegan resturants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490585
2,2,vegan resturants,Vegan Nutrition 101,Benefits Of Vegan Nutrition. Browse Our Free Articles Now! ,www.LifeScript.com,,1270490585
1,1,vegetarian restaurant philadelphia,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490598
1,1,vegetarian restaurants in philadelphia,Veg Food in Philly,Find veg-friendly restaurants and shopping in Philly ,www.VegGuide.Org,,1270490603
1,1,vegetarian resturant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270490618
3,1,vegan raw,How To Become A Vegan,"Vegan Recipes, Restaurant Reviews Starter Kit &amp; More. Go Veg! ",www.ExploreVeg.org,,1270490628
3,2,vegan raw,Raw Vegan Success,The Key 100% Raw Vegan Longevity Informative Articles &amp; Interviews ,www.RawSpirit.org,,1270490628
3,3,vegan raw,Sun Warrior Protein,Raw Vegan. Made with whole brown rice protein. ,www.netrition.com,,1270490628
4,1,raw food vegan,World&#39;s Top Raw Food,"100% Raw, Certified Organic Food. Deliciously natural. Great prices. ",Sunfood.com,,1270490637
4,2,raw food vegan,How To Become A Vegan,"Vegan Recipes, Restaurant Reviews Starter Kit &amp; More. Go Veg! ",www.ExploreVeg.org,,1270490637
4,3,raw food vegan,Raw Superfood Energy,"Goji Berry, Raw Chocolate- Super-Snack &quot;The Original Source&quot; ",www.superfoodsnacks.com,,1270490637
4,4,raw food vegan,Raw Superfoods Store,"All Raw &amp; Organic Superfoods Superfood Goji, Cacao, Maca, +More ",www.NaturalZing.com,,1270490637
1,1,vegetarian food philadelphia,Singapore Garden,View delivery information for Singapore Garden. ,www.GrubHub.com/SingaporeGarden,"1006 Race St, Philadelphia, PA",1270490648
2,1,"vegan restaurant""""",Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270490654
2,2,"vegan restaurant""""",Local Restaurants,"Find listings for restaurants, diners &amp; delivery near you. ",yellowpages.com,"Philadelphia, PA",1270490654
2,1,"vegan restaurants""""",Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270490667
2,2,"vegan restaurants""""",Top Vegan Restaurants,"Search best restaurants on map with menu, reviews, photos, video &amp; more ",www.metaflavor.com/,,1270490667
1,1,vegetarian friendly restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490673
4,1,vegan dining,Free Vegan Recipes,Get recipes for tasty vegan treats + diet tips with Meatout Mondays. ,www.meatoutmondays.org,,1270490680
4,2,vegan dining,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270490680
4,3,vegan dining,Sexy Thin Vegan Wallets,Nylon Microfiber w/special coating Many Styles w/ Same Day Shipping ,www.BigSkinny.net,,1270490680
4,4,vegan dining,Extensive Vegan Shopping,"Vegan Foods, Shoes, Belts, Bags, Books, Videos, &amp; Accessories ",www.TheVegetarianSite.com,,1270490680
3,1,raw food restaurants,Organic Raw Food,"Buy Raw Food Direct And Save Raw Cacao, Raw Maca, Raw Goji ",www.macaweb.com,,1270490692
3,2,raw food restaurants,Raw Food Products,Raw food yummy organic snacks &amp; Raw food kitchen appliances ,www.live-live.com,,1270490692
3,3,raw food restaurants,Raw Foods Restaurants,Get Raw Foods Restaurants Search for Raw Foods Restaurants ,www.Ask.com,,1270490692
4,1,gluten free restaurant,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490703
4,2,gluten free restaurant,Gluten-free Dining,Now Over 250 Gluten-Free Products From General Mills. Try Them Today! ,www.LiveGlutenFreely.com,,1270490703
4,3,gluten free restaurant,Gluten Free Dining Guide,The Magazine For People Who Are Living Gluten Free. ,www.LivingWithout.com,,1270490703
4,4,gluten free restaurant,Restaurant Gluten Free,Search for Restaurant Gluten Free Find Restaurant Gluten Free ,Ask.com,,1270490703
4,1,classy restaurants,Find a New Place to Eat,Find a New &amp; Trendy Restaurant in Your Area with Restaurant.com®! ,www.Restaurant.com,,1270490710
4,2,classy restaurants,Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1270490710
4,3,classy restaurants,Roy&#39;s Restaurant,"Treat yourself to more than steak, and experience Hawaiian fusion. ",RoysRestaurant.com,"Philadelphia, PA",1270490710
4,4,classy restaurants,Local Restaurants,"Find listings for restaurants, diners &amp; delivery near you. ",yellowpages.com,"Philadelphia, PA",1270490710
2,1,vegetarian restaurant review,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1270490717
2,2,vegetarian restaurant review,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270490717
3,1,vegan guide,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270490730
3,2,vegan guide,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270490730
3,3,vegan guide,Vegan? Diabetic? Kosher?,Non-profit org helps you learn about products and their impacts. ,bilumi.org,,1270490730
3,1,dating vegetarian,Dating Singles Over 30,Would You Like To Date Professional Singles? Real Singles Dating! ,MatureProfessionalSingles.net,,1270490736
3,2,dating vegetarian,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490736
3,3,dating vegetarian,Meet Spiritual Singles,Make a mind-body-spirit connection Free profile and personals search ,www.NewAgeConnections.com,,1270490736
1,1,vegan vegitarian,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490744
4,1,organic vegetarian,Organic Food- SunOrganic,Wholesome certified organic food to eat with confidence. Fast delivery. ,www.sunorganic.com,,1270490756
4,2,organic vegetarian,Become A Vegetarian,"Vegetarian Recipes, Restaurants Starter Kit &amp; More. Go Veg! ",www.ExploreVeg.org,,1270490756
4,3,organic vegetarian,Organic Food HomeDelivery,"Organic Produce, Groceries, Meats Los Angeles &amp; Nationwide Shipping ",www.papasorganic.com,,1270490756
4,4,organic vegetarian,Raw Superfood Energy,"Goji Berry, Raw Chocolate- Super-Snack &quot;The Original Source&quot; ",www.superfoodsnacks.com,,1270490756
3,1,vegan restaurant guide,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270490765
3,2,vegan restaurant guide,VegOut NY Guide,Your New York City vegan and vegetarian restaurant guide. ,www.vegoutny.com,,1270490765
3,3,vegan restaurant guide,vegan restaurant guide,Top-Rated Neighborhood Favorites for Vegan restaurant guide ,Local.com,,1270490765
1,1,vegetarian cafe,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490773
2,1,philadelphia vegetarian restaurants,Veg Food in Philly,Find veg-friendly restaurants and shopping in Philly ,www.VegGuide.Org,,1270490788
2,2,philadelphia vegetarian restaurants,Restaurants Vegetarian,Looking For Restaurants Vegetarian? Find It By Location With Local.com! ,Local.com,"Philadelphia, PA",1270490788
1,1,philadelphia vegan restaurants,Sweet Freedom Bakery,"Allergen-Free Bakery-215.545.1899 1424 South St Philadelphia, PA ",www.sweetfreedombakery.com,"1424 South Street, Philadelphia, PA",1270490801
4,1,raw food vegetarian,Organic Raw Food,"Buy Raw Food Direct And Save Raw Cacao, Raw Maca, Raw Goji ",www.macaweb.com,,1270490807
4,2,raw food vegetarian,Raw Food Products,Raw food yummy organic snacks &amp; Raw food kitchen appliances ,www.live-live.com,,1270490807
4,3,raw food vegetarian,Vegetarian Raw at Amazon,"Millions of titles, new &amp; used. Qualified orders over $25 ship free ",Amazon.com/books,,1270490807
4,4,raw food vegetarian,The Raw Food World,"Raw Food TV Show, Radio Show Super Foods Store, Community &amp; More ",www.TheRawFoodWorld.com,,1270490807
1,1,vegan restaurant philadelphia,Bing ™ Search Local,Philadelphia Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1270490817
4,1,gluten free vegetarian,Gluten-Free Mall.com,Your Special Diet Superstore! Gluten Free Foods Online ,www.GlutenFreeMall.com,,1270490832
4,2,gluten free vegetarian,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490832
4,3,gluten free vegetarian,Buy Gluten Free Products,We carry a full line of gluten-free foods at discount prices. ,www.GlutenSmart.com,,1270490832
4,4,gluten free vegetarian,Gluten-free Vegetarian,Save on Gluten-free vegetarian! Qualified orders over $25 ship free ,Amazon.com/books,,1270490832
4,1,vegan organic,How To Become A Vegan,"Vegan Recipes, Restaurant Reviews Starter Kit &amp; More. Go Veg! ",www.ExploreVeg.org,,1270490846
4,2,vegan organic,Karmavore Vegan Shop,"Vegan Treats, Fashion, Books, Pet Food, Shoes, Cosmetics, &amp; More! ",karmavore.ca,,1270490846
4,3,vegan organic,Organic Vegan at Amazon,"Huge Selection at Great Low Prices Vitamins, Personal Care and More ",Amazon.com/health,,1270490846
4,4,vegan organic,The Healthy Nut,All Natural Gourmet Granola Vegan friendly &amp; wheat free! ,www.TheHealthyNutOnline.com,,1270490846
2,1,vegan friendly,How To Become A Vegan,"Vegan Recipes, Restaurant Reviews Starter Kit &amp; More. Go Veg! ",www.ExploreVeg.org,,1270490855
2,2,vegan friendly,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270490855
4,1,vegan food products,How To Become A Vegan,"Vegan Recipes, Restaurant Reviews Starter Kit &amp; More. Go Veg! ",www.ExploreVeg.org,,1270490870
4,2,vegan food products,Vegan Products &amp; Recipes,Nasoya Offers a Full Line of Vegan Products &amp; Delicious Recipe Ideas ,www.Nasoya.com,,1270490870
4,3,vegan food products,Free Vegan Recipes,Get recipes for tasty vegan treats + diet tips with Meatout Mondays. ,www.meatoutmondays.org,,1270490870
4,4,vegan food products,Vegan Manufacturer,Manufacturer can&#39;t keep up? Work with a certified vegan manufacturer ,www.NutricapLabs.com,,1270490870
1,1,manna vegetarian,Manna,Meals Delivered to Those With Life Threatening Illness. Apply Online. ,www.mannapa.org,"12 S 23rd St, Philadelphia, PA 19103",1270490875
4,1,best romantic restaurants,Romantic Boutique Hotel,World&#39;s Largest Wine Bar Old City Philadelphia ,www.pennsviewhotel.com,"Philadelphia, PA",1270490886
4,2,best romantic restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270490886
4,3,best romantic restaurants,Restaurant Mazzi,Best Romantic Italian Restaurant voted #1 by OpenTable ,www.restaurantmazzi.com,Pennsylvania,1270490886
4,4,best romantic restaurants,Tapatoo Resort,Number 1 Restaurant in Parry Sound Chef Roy Returns Excellence is Back ,www.KellermansResort.com,,1270490886
2,1,rittenhouse square restaurants,Rittenhouse Square Hotel,The Rittenhouse Hotel in Rittenhouse Square Philadelphia. ,www.RittenhouseHotel.com,,1270490900
2,2,rittenhouse square restaurants,Casual Romantic Dining,"Relaxed &amp; Friendly Near Rittenhouse 261 S. 21st St. Philadelphia, PA. ",www.fridaysaturdaysunday.com,"Philadelphia, PA",1270490900
1,1,vegetarian bakery,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270490916
1,1,vegan resturant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270490929
4,1,vegan health food,Trader Joe&#39;s Corn Dogs,"Vegetarian Corn Dogs Taste Great! Meatless &amp; Nitrite-Free $2.49, 4/pk ",www.TraderJoes.com,,1270490951
4,2,vegan health food,Skinny Couple (in a box),New box set of bestselling series by Rory Freedman and Kim Barnouin ,www.skinnybitch.net,,1270490951
4,3,vegan health food,Organic Food- SunOrganic,Wholesome certified organic food to eat with confidence. Fast delivery. ,www.sunorganic.com,,1270490951
4,4,vegan health food,Vegan Food - Silk Soymilk,With the Wholesome Nourishment of Soy - Containing No Animal Products ,SilkSoyMilk.com,,1270490951
1,1,raw vegan restaurant,The Raw Food World,"Raw Food TV Show, Radio Show Super Foods Store, Community &amp; More ",www.TheRawFoodWorld.com,,1270490962
1,1,truly vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270490969
1,1,"vegetarian philadelphia""""",Veg Food in Philly,Find veg-friendly restaurants and shopping in Philly ,www.VegGuide.Org,,1270490981
2,1,vegan restaurant menu,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270490990
2,2,vegan restaurant menu,vegan restaurant menu,Top-Rated Neighborhood Favorites for Vegan restaurant menu ,Local.com,,1270490990
4,1,vegetarian stores,How To Eat Vegetarian,Get a Free Guide to Protect Your Health &amp; Animals. Visit Our Site! ,www.TryVeg.com,,1270490998
4,2,vegetarian stores,20-70% Off All Vitamins,"Over 500 brands/30,000 Supplements Huge selection at discount prices. ",www.vitaminlife.com,,1270490998
4,3,vegetarian stores,One-stop vegan shopping,"Hundreds of cruelty-free products Shoes, food, cosmetics and more ",www.veganessentials.com,,1270490998
4,4,vegetarian stores,Vegan Store,Find Stores By Location With Local.com Today! ,Local.com,,1270490998
1,1,natural food restaurants,Natural Food Restaurants,"Millions of titles, new &amp; used. Qualified orders over $25 ship free ",Amazon.com/books,,1270491006
4,1,great vegetarian food,Free Vegetarian Recipes,"Easy, healthy, delicious &amp; free. Plus lots more info. Start cooking! ",www.TryVeg.com,,1270491011
4,2,great vegetarian food,Vegetarian Recipes,Try our Delicious Veggie Products and Get Tips for Eating Veggie. ,www.MorningstarFarms.com,,1270491011
4,3,great vegetarian food,Vegetarian Meat,"Traditionally made vegetarian meats Vegan sausages, slices and roasts ",www.fieldroast.com,,1270491011
4,4,great vegetarian food,Vegetarian Food - Soymilk,A Perfect Choice for Your Healthy Lifestyle with No Animal Products! ,SilkSoyMilk.com,,1270491011
4,1,restaurants downtown philadelphia,Phillyfunguide,Find your fun in Philadelphia! ,www.Phillyfunguide.com,,1270491019
4,2,restaurants downtown philadelphia,Downtown Dining,"Relaxed &amp; Friendly Near Rittenhouse 261 S. 21st St. Philadelphia, PA. ",www.fridaysaturdaysunday.com,"Philadelphia, PA",1270491019
4,3,restaurants downtown philadelphia,Where To Eat in Philly,Find top-rated restaurants And the hidden gems too. ,www.NileGuide.com/Philadelphia,,1270491019
4,4,restaurants downtown philadelphia,Philadelphia Dining Guide,"Reviews, Photos, Menus, Coupons Chef Profiles, Recipes, Events ",PhiladelphiaRestaurants.com,,1270491019
4,1,gluten free vegan,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491030
4,2,gluten free vegan,Gluten Free Vegetarian,The Magazine For People Who Are Living Gluten Free. ,www.LivingWithout.com,,1270491030
4,3,gluten free vegan,Buy Gluten Free Products,We carry a full line of gluten-free foods at discount prices. ,www.GlutenSmart.com,,1270491030
4,4,gluten free vegan,Vegan Gluten-free,Save on Vegan gluten-free! Qualified orders over $25 ship free ,Amazon.com/books,,1270491030
1,1,vegan caterers,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270491040
1,1,truly a vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270491054
1,1,blossom vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270491063
1,1,organic vegetarian restaurant,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491070
1,1,vegan restaraunts,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491081
1,1,organic vegan restaurant,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491086
1,1,gourmet vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270491095
2,1,find vegetarian restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491104
2,2,find vegetarian restaurants,Vegetarian Restaurants,Find A Nearby Restaurant With Everything On The Menu Here. ,philadelphia.local.com,"Philadelphia, PA",1270491104
1,1,vegan restraunts,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491117
2,1,vegan restaurant finder,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270491126
2,2,vegan restaurant finder,Vegan Restaurants,Find the Best Results for Vegan Restaurants. Ask.com! ,Ask.com,,1270491126
1,1,good vegetarian restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491137
1,1,romantic vegetarian restaurants,Top Romantic Restaurant,Reserve Your Table At The Top-Rated Four Seasons Fountain Restaurant. ,FourSeasons.com/Philadelphia,"Philadelphia, PA",1270491145
1,1,local vegetarian restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491156
1,1,organic vegetarian restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491170
1,1,vegan restuarants,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270491180
1,1,vegetarian italian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270491188
1,1,vegan food philadelphia,Vegan Food,"LÄRABAR is Dairy Free, Gluten Free Soy Free, Vegan, Non GMO &amp; Kosher. ",www.LARABAR.com,,1270491199
1,1,vegan restaurants in philly,Bing™ Search Local,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1270491210
2,1,vegeterian vegan,Be a Vegan,Start Today Learn How ,www.FriendsofAnimals.org,,1270491217
2,2,vegeterian vegan,Vegetarian Vegan Cooking,Find Great Savings Online Shop our Wide Selection Today! ,Target.com,,1270491217
1,1,vegetarian restaurants downtown,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491226
1,1,top 10 vegetarian restaurants,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1270491236
4,1,downtown philly restaurants,Modern Vegan Food,"Warm, Unforgettable Atmosphere Extensive Wine List and Great Beer ",www.horizonsphiladelphia.com,"611 S. 7th St, Philadelphia, PA",1270491244
